id_titulo_pagar;id_fornecedor;data_emissao;data_vencimento;data_pagamento;categoria_despesa;valor_titulo;valor_pago;status;forma_pagamento
CP000001;F0005;2026-05-01;2026-05-22;2026-05-25;Mercadorias;12165.76;12165.76;Pago;Boleto
CP000002;F0002;2026-03-02;2026-04-01;;Tecnologia;16428.88;0.0;Em aberto;PIX
CP000003;F0014;2026-03-30;2026-04-13;2026-04-12;Aluguel;19536.09;19536.09;Pago;Boleto
CP000004;F0022;2026-05-02;2026-06-16;;Marketing;13913.86;0.0;Em aberto;Transferência
CP000005;F0019;2026-05-25;2026-06-15;;Aluguel;12418.04;0.0;Em aberto;Boleto
CP000006;F0004;2026-04-27;2026-06-26;;Frete;18233.22;0.0;Em aberto;PIX
CP000007;F0021;2026-02-27;2026-04-13;;Frete;4797.91;0.0;Vencido;Boleto
CP000008;F0016;2026-07-08;2026-09-06;2026-09-10;Frete;19063.62;19063.62;Pago;
CP000009;F0006;2026-07-31;2026-08-07;2026-08-10;Mercadorias;7415.64;7415.64;Pago;PIX
CP000010;F0005;2026-03-16;2026-04-13;;Tecnologia;4089.47;0.0;Vencido;Transferência
CP000011;F0002;2026-01-08;2026-01-22;2026-01-23;Aluguel;4157.04;4157.04;Pago;Boleto
CP000012;F0011;2026-08-05;2026-09-04;2026-09-02;Frete;5107.79;5107.79;Pago;Transferência
CP000013;F0004;2026-01-06;2026-03-07;;Serviços;13629.68;0.0;Em aberto;PIX
CP000014;F0011;2026-02-23;2026-03-16;2026-03-19;Serviços;9260.02;9260.02;Pago;Boleto
CP000015;F0017;2026-07-24;2026-08-23;2026-08-22;Frete;17662.86;17662.86;Pago;Boleto
CP000016;F0007;2026-02-19;2026-03-21;2026-03-24;Marketing;7719.36;7719.36;Pago;Débito automático
CP000017;F0021;2026-03-04;2026-03-11;;Frete;15320.88;0.0;Vencido;Transferência
CP000018;F0005;2026-03-25;2026-04-08;2026-04-08;Tecnologia;1301.86;1301.86;Pago;Débito automático
CP000019;F0007;2026-07-06;2026-07-13;;Mercadorias;15747.14;0.0;Vencido;Boleto
CP000020;;2026-04-10;2026-06-09;;aluguel;17677.84;0.0;Em aberto;Débito automático
CP000021;F9999;2026-04-29;2026-05-13;2026-05-18;Serviços;6606.01;;Pago;Débito automático
CP000022;F0016;2026-03-10;2026-04-09;;Serviços;8168.68;0.0;Vencido;PIX
CP000023;F0007;2026-02-26;2026-03-12;2026-03-16;Frete;9178.58;9178.58;Pago;Transferência
CP000024;F0014;2026-08-16;2026-09-13;2026-09-15;Marketing;11534.57;11534.57;  Pago ;PIX
CP000025;F0005;2026-07-12;2026-07-19;;Aluguel;6077.2;0.0;Em aberto;Boleto
CP000026;F0019;2026-01-11;2026-02-08;2026-02-12;Energia;10367.18;10367.18;Pago;Débito automático
CP000027;F0014;2026-04-15;2026-05-06;2026-05-08;Energia;16138.96;16138.96;pago;PIX
CP000028;F0006;2026-04-24;2026-05-08;2026-05-11;Mercadorias;5496.09;5496.09;Pago;Transferência
CP000029;  F0017 ;2026-05-12;2026-06-11;2026-06-12;Mercadorias;12962.17;12962.17;Pago;PIX
CP000030;F0003;2026-04-03;2026-04-10;2026-04-11;Serviços;11034.01;11034.01;Pago;Transferência
CP000031;F0009;2026-03-19;2026-05-03;2026-05-04;Serviços;16357.4;16357.4;Pago;Boleto
