,id_cliente,nome_cliente,cidade,uf,segmento,limite_credito,status
0,C0001,Comercial Presidente 01,Regente Feijó,SP,Varejo,60616.29,Ativo
2,C0003,Supermercado Avenida 03,Santo Anastácio,SP,Varejo,7234.79,Ativo
3,C0004,Mercado Central 04,Presidente Prudente,SP,Mercado,58701.47,Ativo
4,C0005,Supermercado União 05,pirapozinho,SP,Food Service,49194.93,Ativo
5,C0006,Supermercado Real 06,Álvares Machado,SP,Food Service,30518.79,Ativo
6,C0007,Mercado Central 07,Presidente Bernardes,SP,Varejo,11955.94,Ativo
7,C0008,Rede Bom Preço 08,Presidente Bernardes,SP,Atacado,65534.62,Ativo
8,C0009,mercado são lucas 09,Regente Feijó,SP,Food Service,10910.01,Ativo
9,C0010,Distribuidora Nova Era 10,Presidente Bernardes,SP,Mercado,57842.89,Ativo
10,C0011,Comercial Presidente 11,Pirapozinho,SP,Atacado,78891.61,Ativo
11,C0012,Distribuidora Nova Era 12,Regente Feijó,SP,Food Service,25848.02,Ativo
12,C0013,Comercial Oeste 13,Presidente Bernardes,SP,Atacado,,Ativo
13,C0014,Mercado Ideal 14,Regente Feijó,SP,Mercado,0.0,Ativo
14,C0015,Comercial Oeste 15,Rancharia,SP,Food Service,25246.09,Ativo
15,C0016,Mercado Central 16,Presidente Bernardes,SP,Varejo,22178.61,Ativo
16,C0017,Supermercado Real 17,Presidente Bernardes,SP,Food Service,25080.57,Ativo
17,C0018,Mercado Esperança 18,Presidente Bernardes,SP,Mercado,54157.9,Ativo
18,C0019,Mercado Esperança 19,Rancharia,SP,Mercado,24866.01,Ativo
19,C0020,Mercado Ideal 20,Martinópolis,SP,Food Service,72336.72,Ativo
20,C0021,Rede Bom Preço 21,Pirapozinho,SP,Mercado,43214.47,Ativo
21,C0022,Supermercado Real 22,Presidente Prudente,SP,Varejo,16463.1,ativo
22,C0023,Supermercado Real 23,Santo Anastácio,SP,Varejo,33857.55,Inativo
23,C0024,Casa das Compras 24,Martinópolis,SP,Varejo,56021.26,Ativo
24,C0025,Comercial Presidente 25,Martinópolis,SP,Atacado,13366.41,Ativo
25,C0026,Comercial Oeste 26,Rancharia,SP,Varejo,76536.19,Ativo
26,C0027,Mercado São Lucas 27,Álvares Machado,SP,Varejo,70288.89,Ativo
27,C0028,Distribuidora Nova Era 28,Pirapozinho,SP,Mercado,33043.54,Ativo
28,C0029,Mercado São Lucas 29,Presidente Prudente,SP,Atacado,41645.43,Ativo
30,C0031,Mercado Esperança 31,Regente Feijó,SP,Varejo,59893.07,Ativo
31,C0032,Supermercado Real 32,Álvares Machado,SP,Mercado,54481.31,Ativo
32,C0033,Comercial Oeste 33,Martinópolis,SP,Food Service,77327.22,Ativo
33,C0034,Supermercado Real 34,Pirapozinho,SP,Atacado,34924.42,Ativo
34,C0035,Casa das Compras 35,Rancharia,sp,Varejo,23592.92,Ativo
36,C0037,Supermercado Avenida 37,Presidente Prudente,SP,Mercado,10055.02,Ativo
37,C0038,Distribuidora Nova Era 38,Presidente Bernardes,SP,Varejo,43561.71,Ativo
38,C0039,Comercial Presidente 39,Rancharia,SP,Mercado,45442.54,Inativo
39,C0040,Varejão Paulista 40,Rancharia,SP,Mercado,63846.46,Ativo
40,C0041,Mercado Central 41,Regente Feijó,SP,Varejo,54423.71,Ativo
41,C0042,Supermercado União 42,Santo Anastácio,SP,Food Service,69787.76,Ativo
42,C0043,Comercial Presidente 43,Regente Feijó,SP,Varejo,35196.6,Ativo
43,C0044,Supermercado Real 44,Regente Feijó,SP,Mercado,19369.26,Ativo
44,C0045,Casa das Compras 45,Álvares Machado,SP,food service,18761.6,Ativo
45,C0046,Mercado Central 46,Regente Feijó,SP,Food Service,65601.67,Ativo
46,C0047,Supermercado Avenida 47,Presidente Prudente,SP,Varejo,77674.72,Ativo
47,C0048,Comercial Oeste 48,Santo Anastácio,SP,Food Service,41101.88,Ativo
48,C0049,Mercado Esperança 49,Presidente Prudente,SP,Mercado,33422.98,Ativo
50,C0014,Mercado Ideal 14,Regente Feijó,SP,Mercado,0.0,Ativo
