id_titulo_receber,id_cliente,data_emissao,data_vencimento,data_recebimento,valor_titulo,valor_recebido,status,forma_recebimento
CR000001,C0027,2026-02-26,2026-04-12,2026-04-12,10168.68,10168.68,Pago,PIX
CR000002,C0012,2026-04-23,2026-06-22,2026-06-26,9370.77,9370.77,Pago,Boleto
CR000003,C0028,2026-04-14,2026-06-13,1900-01-01,914.85,0.0,Em aberto,Transferência
CR000004,C0026,2026-06-06,2026-07-21,1900-01-01,8707.44,0.0,Em aberto,PIX
CR000005,C0034,2026-01-28,2026-02-25,2026-02-25,7016.44,7016.44,Pago,Cartão
CR000006,C0048,2026-01-11,2026-02-10,2026-02-10,5994.75,5994.75,Pago,NAO INFORMADO
CR000007,C0029,2026-04-12,2026-05-03,2026-05-07,11673.05,11673.05,Pago,Boleto
CR000008,C0028,2026-03-17,2026-04-16,1900-01-01,13809.78,0.0,Em aberto,Boleto
CR000009,C0030,2026-08-01,2026-09-15,1900-01-01,6939.96,0.0,Em aberto,PIX
CR000010,C0012,2026-07-19,2026-08-18,1900-01-01,14086.28,0.0,Em aberto,Boleto
CR000011,C0026,2026-04-16,2026-05-07,2026-05-11,6928.02,6928.02,Pago,Boleto
CR000012,C0030,2026-01-24,2026-02-14,2026-02-12,5063.9,5063.9,pago,PIX
CR000013,C0008,2026-06-30,2026-07-28,2026-08-02,9620.86,9620.86,Pago,Cartão
CR000014,C0047,2026-07-22,2026-08-21,2026-08-24,9297.47,9297.47,Pago,Cartão
CR000015,c0003,2026-07-16,2026-07-30,1900-01-01,13710.12,0.0,Vencido,Boleto
CR000016,C0011,2026-08-11,2026-08-25,2026-08-28,2929.34,2929.34,Pago,Transferência
CR000017,C0020,2026-07-06,2026-09-04,2026-09-03,14426.2,14426.2,Pago,PIX
CR000018,C0009,2026-02-21,2026-02-28,2026-02-25,9451.64,9451.64,Pago,Cartão
CR000019,C0032,2026-08-07,2026-09-04,2026-09-08,8289.47,8289.47,Pago,Boleto
CR000020,C0014,2026-05-31,2026-07-15,1900-01-01,7292.97,0.0,Em aberto,Cartão
CR000021,C9999,2026-06-03,2026-07-03,1900-01-01,396.62,0.0,Em aberto,Transferência
CR000022,C0040,2026-06-10,2026-07-10,2026-07-07,12355.78,12355.78,Pago,Boleto
CR000023,C0010,2026-01-15,2026-03-01,2026-02-26,5430.59,5430.59,Pago,Transferência
