id_movimento;data_movimento;tipo;categoria;descricao;valor;conta_bancaria;conciliado
MB000001;2026-05-14;Entrada;Outros;Outros - operação 1;11974.55;Banco B;Sim
MB000002;2026-03-15;Entrada;Energia;Energia - operação 2;329.88;Banco A;Sim
MB000003;2026-03-14;Saída;Pagamento fornecedor;;1004.82;Banco B;Sim
MB000004;2026-04-21;Saída;Recebimento de cliente;Recebimento de cliente - operação 4;945.74;Banco A;Sim
MB000005;2026-08-13;Entrada;Outros;Outros - operação 5;11992.6;Banco C;Sim
MB000006;2026-01-23;Entrada;Salário;Salário - operação 6;17926.66;Banco A;Sim
MB000007;2026-05-30;Entrada;Energia;Energia - operação 7;3978.5;Banco B;Sim
MB000008;2026-03-05;Saída;Tarifa bancária;Tarifa bancária - operação 8;7214.09;Banco A;Sim
MB000009;2026-03-19;Saída;Energia;Energia - operação 9;3160.77;Banco B;Sim
MB000010;2026-07-25;Saída;Salário;Salário - operação 10;12315.62;Banco A;Sim
MB000011;2026-02-04;Saída;Outros;Outros - operação 11;3631.44;Banco B;Sim
MB000012;2026-03-18;Saída;Transferência;Transferência - operação 12;9847.66;Banco B;Sim
MB000013;2026-01-25;Entrada;Outros;Outros - operação 13;7982.13;Banco B;Sim
MB000014;2026-06-25;Saída;Transferência;;6407.78;Banco B;Sim
MB000015;2026-04-16;Saída;Recebimento de cliente;Recebimento de cliente - operação 15;16430.42;Banco A;Sim
MB000016;2026-01-23;Entrada;Energia;Energia - operação 16;14170.05;Banco C;Sim
MB000017;2026-04-06;Entrada;Outros;Outros - operação 17;16203.43;Banco B;Sim
MB000018;2026-07-13;Saída;Salário;Salário - operação 18;7282.81;Banco A;Sim
MB000019;2026-07-26;Saída;Transferência;Transferência - operação 19;15113.6;Banco A;Sim
MB000020;2026-03-11;Entrada;  Impostos ;Impostos - operação 20;10718.4;Banco B;Não
MB000021;2026-05-04;Saída;Recebimento de cliente;Recebimento de cliente - operação 21;2229.9;Banco C;Sim
MB000022;2026-07-09;Entrada;Aluguel;Aluguel - operação 22;9316.94;Banco C;Sim
MB000023;2026-02-04;Entrada;Salário;Salário - operação 23;5451.02;Banco B;Sim
MB000024;2026-07-26;Saída;Aluguel;Aluguel - operação 24;2109.02;Banco A;Sim
MB000025;2026-06-04;Entrada;Outros;Outros - operação 25;1788.7;Banco A;Sim
MB000026;2026-05-02;Entrada;Outros;Outros - operação 26;8016.49;Banco A;Sim
MB000027;2026-03-18;Saída;Transferência;Transferência - operação 27;17689.4;;Sim
MB000028;2026-03-08;Saída;Transferência;Transferência - operação 28;15474.68;Banco C;Sim
MB000029;2026-04-21;Entrada;Recebimento de cliente;Recebimento de cliente - operação 29;3367.3;Banco C;Sim
MB000030;2026-02-13;Saída;Outros;Outros - operação 30;3646.3;Banco B;Sim
MB000031;2026-03-16;Entrada;Transferência;Transferência - operação 31;6643.74;Banco B;Sim
MB000032;2026-04-09;Entrada;Transferência;Transferência - operação 32;;Banco B;Sim
MB000033;2026-01-08;Entrada;Transferência;Transferência - operação 33;2206.27;Banco B;Sim
MB000034;2026-05-29;Entrada;Recebimento de cliente;Recebimento de cliente - operação 34;11629.71;Banco C;Não
MB000035;2026-04-24;Entrada;Impostos;Impostos - operação 35;17332.2;Banco B;Sim
MB000036;2026-03-12;Entrada;Salário;Salário - operação 36;6471.57;Banco C;Sim
MB000037;2026-03-31;Saída;Tarifa bancária;Tarifa bancária - operação 37;9259.16;Banco A;Sim
MB000038;2026-04-01;Saída;Impostos;Impostos - operação 38;8297.7;Banco A;Sim
MB000039;2026-07-20;Entrada;Tarifa bancária;Tarifa bancária - operação 39;1274.37;Banco C;sim
MB000040;2026-04-07;;Salário;Salário - operação 40;10389.9;Banco C;Sim
MB000041;2026-03-08;Entrada;Impostos;Impostos - operação 41;10619.9;Banco C;sim
MB000042;2026-05-30;Saída;Tarifa bancária;Tarifa bancária - operação 42;1262.88;Banco A;Sim
MB000043;2026-03-01;  Entrada ;Pagamento fornecedor;Pagamento fornecedor - operação 43;9014.84;Banco C;Sim
MB000044;2026-03-24;Entrada;Aluguel;Aluguel - operação 44;1942.5;Banco A;Sim
MB000045;2026-07-13;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 45;1161.58;Banco B;sim
MB000046;2026-01-10;Entrada;;Transferência - operação 46;13752.17;Banco C;Sim
MB000047;2026-02-14;Saída;Pagamento fornecedor;pagamento fornecedor - operação 47;12592.13;Banco B;Sim
MB000048;2026-06-13;Saída;  Outros ;Outros - operação 48;3635.23;Banco B;Sim
MB000049;2026-04-23;Entrada;Aluguel;Aluguel - operação 49;3661.41;Banco A;Sim
MB000050;2026-07-28;Saída;Aluguel;Aluguel - operação 50;1594.03;Banco A;Sim
MB000051;2026-02-22;Entrada;Salário;Salário - operação 51;16084.57;Banco B;Sim
MB000052;2026-05-26;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 52;6165.77;Banco C;Sim
MB000053;2026-05-08;Entrada;Aluguel;Aluguel - operação 53;10288.14;Banco B;Sim
MB000054;2026-04-01;Saída;Outros;;15368.92;Banco A;Sim
MB000055;2026-04-20;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 55;10266.29;Banco A;Sim
MB000056;2026-03-18;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 56;9001.88;Banco A;Não
MB000057;2026-05-19;saída;Recebimento de cliente;Recebimento de cliente - operação 57;4071.18;Banco B;Sim
MB000058;2026-04-10;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 58;15710.34;Banco A;Sim
MB000059;2026-01-20;Saída;Aluguel;Aluguel - operação 59;15364.85;Banco C;Sim
MB000060;2026-03-21;Saída;Recebimento de cliente;Recebimento de cliente - operação 60;9849.65;Banco A;Não
MB000061;2026-05-01;Entrada;Recebimento de cliente;Recebimento de cliente - operação 61;629.33;Banco B;Sim
MB000062;2026-02-21;Saída;Recebimento de cliente;Recebimento de cliente - operação 62;2550.23;Banco C;Sim
MB000063;2026-07-13;;Aluguel;Aluguel - operação 63;8909.31;Banco C;Não
MB000064;2026-06-29;Entrada;Impostos;Impostos - operação 64;17659.96;Banco B;Não
MB000065;2026-07-09;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 65;15980.96;Banco B;
MB000066;2026-03-11;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 66;689.02;Banco C;Sim
MB000067;2026-06-16;Saída;Tarifa bancária;Tarifa bancária - operação 67;8622.79;Banco A;Sim
MB000068;2026-01-15;Entrada;Aluguel;Aluguel - operação 68;9638.64;Banco B;Sim
MB000069;2026-05-22;Saída;Recebimento de cliente;Recebimento de cliente - operação 69;6998.89;Banco B;Sim
MB000070;2026-04-21;Saída;Outros;  Outros - operação 70 ;2522.98;Banco B;Sim
MB000071;2026-08-18;Saída;Impostos;Impostos - operação 71;1.250,50;Banco B;Sim
MB000072;2026-01-15;Entrada;Aluguel;Aluguel - operação 72;1701.24;;Sim
MB000073;2026-04-16;saída;Recebimento de cliente;Recebimento de cliente - operação 73;17837.35;Banco A;Sim
MB000074;2026-07-28;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 74;1066.95;Banco B;Sim
MB000075;2026-03-14;Entrada;Impostos;Impostos - operação 75;6326.53;Banco C;Sim
MB000076;2026-03-16;Entrada;Tarifa bancária;Tarifa bancária - operação 76;8642.69;Banco A;Sim
MB000077;2026-01-20;Entrada;Outros;;3745.2;Banco C;Sim
MB000078;2026-08-18;;Transferência;Transferência - operação 78;12850.75;Banco B;Sim
MB000079;2026-03-16;Entrada;Outros;Outros - operação 79;16078.96;Banco B;Sim
MB000080;2026-05-09;Entrada;Recebimento de cliente;Recebimento de cliente - operação 80;6272.11;Banco B;Não
MB000081;2026-05-05;entrada;Pagamento fornecedor;Pagamento fornecedor - operação 81;3703.81;  Banco A ;Sim
MB000082;2026-03-01;Entrada;Outros;Outros - operação 82;3833.31;Banco B;Sim
MB000083;2026-01-10;Entrada;Transferência;Transferência - operação 83;11715.85;banco b;Sim
MB000084;2026-01-06;saída;Recebimento de cliente;Recebimento de cliente - operação 84;4901.86;Banco C;Sim
MB000085;2026-03-18;Entrada;Recebimento de cliente;Recebimento de cliente - operação 85;5059.71;Banco C;Sim
MB000086;2026-05-07;Entrada;Tarifa bancária;Tarifa bancária - operação 86;6954.71;Banco A;Sim
MB000087;2026-02-22;Saída;Salário;Salário - operação 87;11895.67;Banco C;Sim
MB000088;2026-06-19;Entrada;Recebimento de cliente;Recebimento de cliente - operação 88;9770.81;Banco B;Sim
MB000089;2026-06-05;Saída;Energia;Energia - operação 89;14593.87;Banco C;Sim
MB000090;2026-07-13;Entrada;Impostos;Impostos - operação 90;13077.86;Banco C;Sim
MB000091;2026-08-10;Saída;Recebimento de cliente;Recebimento de cliente - operação 91;14542.77;Banco C;Sim
MB000092;2026-07-04;Entrada;Outros;Outros - operação 92;8369.87;Banco C;Não
MB000093;2026-07-16;Saída;Energia;Energia - operação 93;2967.75;Banco B;Sim
MB000094;2026-07-10;Entrada;Salário;Salário - operação 94;16343.44;Banco B;Sim
MB000095;2026-01-22;Entrada;Outros;Outros - operação 95;5360.06;Banco C;Sim
MB000096;2026-01-10;Saída;Energia;Energia - operação 96;6542.42;Banco C;Sim
MB000097;2026-07-20;Saída;Recebimento de cliente;Recebimento de cliente - operação 97;2281.3;Banco C;Sim
MB000098;2026-08-03;Entrada;Salário;Salário - operação 98;8016.37;Banco A;Sim
MB000099;2026-01-03;Saída;Recebimento de cliente;Recebimento de cliente - operação 99;17387.64;Banco B;Sim
MB000100;2026-02-25;Saída;Recebimento de cliente;Recebimento de cliente - operação 100;10453.29;Banco A;Sim
MB000101;2026-08-18;Saída;Outros;Outros - operação 101;5686.78;Banco A;Sim
MB000102;2026-02-16;Entrada;Energia;Energia - operação 102;4708.76;Banco B;Sim
MB000103;2026-02-28;Entrada;Salário;Salário - operação 103;15688.74;Banco C;Sim
MB000104;2026-03-01;Entrada;Recebimento de cliente;Recebimento de cliente - operação 104;3357.39;Banco C;Sim
MB000105;2026-05-29;Saída;Recebimento de cliente;Recebimento de cliente - operação 105;9983.67;Banco A;Sim
MB000106;2026-07-02;entrada;Energia;Energia - operação 106;339.32;Banco B;Sim
MB000107;2026-07-03;Entrada;Aluguel;Aluguel - operação 107;6327.65;Banco A;Sim
MB000108;2026-04-24;Entrada;Outros;Outros - operação 108;1440.23;Banco A;Sim
MB000109;2026-05-27;Saída;Tarifa bancária;Tarifa bancária - operação 109;1331.51;Banco B;Sim
MB000110;2026-02-06;Entrada;Impostos;Impostos - operação 110;10945.05;Banco B;Sim
MB000111;2026-04-15;Saída;Transferência;Transferência - operação 111;16967.51;Banco B;Não
MB000112;2026-01-08;Entrada;Impostos;Impostos - operação 112;850.76;Banco A;Não
MB000113;2026-01-07;Entrada;aluguel;Aluguel - operação 113;14554.21;Banco C;Sim
MB000114;2026-07-20;Saída;Impostos;Impostos - operação 114;16921.92;Banco B;Não
MB000115;2026-01-09;Entrada;Tarifa bancária;Tarifa bancária - operação 115;13738.88;Banco C;Sim
MB000116;2026-01-20;Entrada;Outros;Outros - operação 116;17960.74;Banco C;Sim
MB000117;2026-07-07;Saída;Outros;Outros - operação 117;13208.17;Banco C;Sim
MB000118;2026-06-05;Saída;Outros;Outros - operação 118;9390.03;Banco B;Sim
MB000119;2026-02-19;Saída;  Energia ;Energia - operação 119;16403.7;Banco B;Sim
MB000120;2026-07-24;Saída;Aluguel;Aluguel - operação 120;8231.99;  Banco C ;Sim
MB000121;2026-06-27;Entrada;Transferência;Transferência - operação 121;13203.73;Banco B;Sim
MB000122;2026-01-21;Saída;Outros;Outros - operação 122;9126.3;Banco B;Sim
MB000123;2026-06-04;Entrada;Transferência;Transferência - operação 123;14164.16;Banco A;Não
MB000124;2026-07-31;Entrada;Outros;Outros - operação 124;4446.74;Banco B;Não
MB000125;2026-06-20;Entrada;Energia;Energia - operação 125;14335.61;Banco B;Sim
MB000126;2026-01-31;Entrada;Tarifa bancária;Tarifa bancária - operação 126;7607.36;Banco A;Não
MB000127;2026-05-07;Entrada;  Salário ;Salário - operação 127;15781.48;Banco A;Sim
MB000128;2026-01-31;Saída;Energia;Energia - operação 128;13790.9;Banco C;Sim
MB000129;2026-07-10;Entrada;Salário;Salário - operação 129;15656.79;Banco B;Sim
MB000130;2026-06-26;Entrada;Pagamento fornecedor;  Pagamento fornecedor - operação 130 ;2426.18;Banco C;Sim
MB000131;2026-08-20;Saída;Impostos;Impostos - operação 131;2337.78;Banco C;Sim
MB000132;2026-03-03;Entrada;Pagamento fornecedor;Pagamento fornecedor - operação 132;6095.71;Banco B;Não
MB000133;2026-06-05;Saída;Pagamento fornecedor;Pagamento fornecedor - operação 133;17894.71;Banco A;Sim
MB000134;2026-07-09;Saída;Transferência;Transferência - operação 134;16396.6;Banco C;Sim
MB000135;2026-07-09;Saída;Energia;Energia - operação 135;13650.0;Banco C;Sim
