id_produto;descricao;categoria;preco_custo;preco_venda;unidade
P0001;Água Econômico;Bebidas;140.86;212.54;L
P0002;Saco plástico Premium;Embalagens;155.9;234.36;CX
P0003;Sabonete Premium;Higiene;133.11;81.73;L
P0004;Suco Premium;Bebidas;142.15;28.62;UN
P0005;Shampoo Premium;Higiene;147.35;112.09;KG
P0006;Refrigerante Tradicional;Bebidas;119.49;97.44;KG
P0007;Macarrão Econômico;Alimentos;116.18;97.72;KG
P0008;Arroz Econômico;Alimentos;33.79;231.12;KG
P0009;arroz 500ml;Alimentos;79.35;175.67;KG
P0010;Sabonete 5kg;Higiene;162.11;48.05;UN
P0011;Sabonete 500ml;Higiene;166.75;130.61;CX
P0012;Água sanitária Tradicional;Limpeza;170.9;221.22;KG
P0013;Café Econômico;alimentos;92.27;161.05;KG
P0014;Papel higiênico 500ml;Higiene;24.66;102.65;L
P0015;Suco 5kg;Bebidas;99.53;3.1;KG
P0016;Bebida energética 12un;Bebidas;105.24;89,90;L
P0017;Creme dental 1L;Higiene;40.04;115.15;CX
P0018;Macarrão 500ml;Alimentos;120.17;149.76;UN
P0019;Suco Premium;Bebidas;145.57;37.92;UN
P0020;Bebida energética 500ml;Bebidas;153.25;20.26;L
P0021;Saco plástico 1L;Embalagens;125.95;120.17;CX
P0022;Água 12un;Bebidas;155.16;212.86;L
P0023;Refrigerante 12un;Bebidas;172.52;125.76;UN
P0024;Saco plástico 12un;Embalagens;23.6;34.6;L
P0025;Pote 12un;Embalagens;160.67;148.2;L
P0026;Filme plástico Premium;Embalagens;134.37;115.5;KG
P0027;Suco 12un;Bebidas;140.43;117.85;CX
P0028;Água sanitária Tradicional;Limpeza;129.01;58.57;
P0029;Detergente Premium;Limpeza;28.85;93.78;CX
P0030;Água 5kg;Bebidas;74.55;131.6;L
P0031;Feijão 12un;Alimentos;76.79;217.45;UN
P0032;Filme plástico 5kg;Embalagens;3.05;;L
P0033;Shampoo 5kg;Higiene;41.06;106.29;UN
P0034;Papel higiênico 1L;Higiene;122.89;98.82;CX
P0035;Shampoo 500ml;Higiene;97.07;217.94;UN
P0036;Café 5kg;Alimentos;26.15;112.42;UN
P0037;Água sanitária Econômico;Limpeza;39.68;80.46;L
P0038;Água sanitária Econômico;Limpeza;150.61;114.46;UN
P0039;Sabão 1L;Limpeza;14.21;229.88;UN
P0040;Feijão Premium;Alimentos;151.38;150.26;CX
P0041;Bebida energética 1L;Bebidas;22.36;227.62;L
P0042;Desinfetante Premium;Limpeza;109.85;231.41;UN
P0043;Suco Tradicional;Bebidas;105.01;223.15;L
P0044;Shampoo Tradicional;Higiene;107.39;199.85;CX
P0045;Café 12un;Alimentos;;165.17;UN
P0046;Caixa Econômico;Embalagens;96.83;159.78;UN
P0047;Pote Tradicional;Embalagens;153.22;197.89;UN
P0048;Papel higiênico 1L;Higiene;160.7;111.96;CX
P0049;Shampoo 1L;  Higiene ;94.87;157.16;L
P0050;Creme dental 12un;Higiene;132.12;66.61;CX
P0051;Macarrão 5kg;Alimentos;45.41;113.14;L
P0052;Detergente 5kg;Limpeza;153.47;46.1;CX
P0053;Desinfetante Econômico;Limpeza;51.78;144.29;KG
P0054;Caixa 500ml;Embalagens;170.76;23.29;L
P0055;Shampoo 1L;Higiene;86.74;171.71;L
P0056;Arroz Econômico;Alimentos;41.44;166.95;KG
P0057;Pote 5kg;Embalagens;100.52;84.47;kg
P0058;;Limpeza;56.58;57.64;CX
P0059;Detergente 1L;Limpeza;97.38;183.64;CX
P0060;Refrigerante 1L;Bebidas;88.19;174.73;KG
P0061;Feijão Econômico;Alimentos;42.49;45.53;UN
P0062;Saco plástico Econômico;Embalagens;10.1;15.92;KG
P0063;Bebida energética Tradicional;Bebidas;157.34;139.05;L
P0064;Creme dental Econômico;Higiene;34.82;15.18;L
P0065;Arroz 5kg;Alimentos;89.53;139.75;UN
P0066;Refrigerante 12un;Bebidas;102.19;75.01;CX
P0067;Açúcar 12un;Alimentos;76.08;144.28;CX
P0068;Filme plástico 5kg;Embalagens;163.71;73.47;L
P0069;Detergente 500ml;Limpeza;172.9;26.52;CX
P0070;Suco 1L;Bebidas;16.45;59.85;  UN 
P0071;Água 5kg;Bebidas;82.19;143.73;KG
P0072;Feijão Econômico;Alimentos;127.84;169.61;L
P0073;Café Premium;Alimentos;166.46;189.72;CX
P0074;Sabonete 500ml;Higiene;42.02;38.31;KG
P0075;Água Tradicional;Bebidas;31.53;75.9;KG
P0076;Sabonete 5kg;;124.58;168.84;KG
P0077;Filme plástico 5kg;Embalagens;16.32;12.45;L
P0078;Desinfetante Tradicional;Limpeza;18.26;230.97;UN
P0079;  Detergente 12un ;Limpeza;136.62;114.51;L
P0080;Sabão 500ml;Limpeza;79.59;195.98;UN
P0063;Bebida energética Tradicional;Bebidas;157.34;139.05;L
