id_venda;data_venda;id_cliente;id_produto;quantidade;valor_unitario;desconto;forma_pagamento;status_venda;valor_total
V000001;2026-06-21;;P0045;14.0;156.91;0.0;Boleto;Faturada;2196.74
V000002;2026-04-13;C0027;P0064;10.0;15.17;50.0;PIX;faturada;101.7
V000003;2026-07-17;C0006;P0041;9.0;215.9;5.0;PIX;Cancelada;1938.1
V000004;2026-04-03;C0030;P0053;2.0;133.92;10.0;Transferência;Faturada;257.84
V000005;2026-02-03;C0049;P0007;7.0;91.86;0.0;Transferência;;643.02
V000006;2026-03-03;C0008;P0004;21.0;28.37;20.0;Boleto;Faturada;575.77
V000007;2026-02-27;C0036;P0002;18.0;225.27;50.0;PIX;Faturada;4004.86
V000008;2026-03-16;C0008;P0020;16.0;21.07;10.0;Cartão;Faturada;327.12
V000009;2026-02-07;C0031;P0061;8.0;44.1;5.0;Boleto;Devolvida;347.8
V000010;2026-07-17;C0033;P0018;28.0;136.35;50.0;Transferência;Faturada;3767.8
V000011;2026-07-05;C9999;P0035;27.0;196.23;0.0;Transferência;Faturada;5298.21
V000012;2026-05-22;C0029;P0069;16.0;25.24;50.0;Transferência;Faturada;353.84
V000013;2026-04-09;C0021;P0025;23.0;138.69;0.0;Transferência;Faturada;3189.87
V000014;2026-04-08;C0021;P0061;23.0;47.22;5.0;Boleto;Faturada;1081.06
V000015;2026-03-26;C0003;P0017;17.0;120.31;50.0;PIX;Faturada;1995.27
V000016;2026-07-04;C0007;P0068;30.0;71.16;0.0;Transferência;Faturada;2134.8
V000017;2026-03-28;C0005;P0061;26.0;47.6;10.0;Transferência;Faturada;1227.6
V000018;2026-06-10;C0022;P0069;13.0;27.66;20.0;Transferência;Cancelada;
V000019;2026-06-25;C0003;P0080;3.0;183.28;0.0;Boleto;Faturada;549.84
V000020;2026-08-12;C0028;P0013;25.0;160.25;0.0;Transferência;Faturada;4006.25
V000021;2026-03-25;C0045;P0039;29.0;207.89;50.0;PIX;Faturada;5978.81
V000022;2026-05-16;C0023;P0048;14.0;103.21;5.0;Boleto;Faturada;1439.94
V000023;2026-06-08;C0012;P0011;20.0;134.61;20.0;Boleto;Faturada;2672.2
V000024;2026-03-07;C0038;P0019;8.0;36.75;5.0;Cartão;Faturada;289.0
V000025;2026-01-19;C0030;P0037;22.0;79.01;5.0;Cartão;Devolvida;1733.22
V000026;2026-08-05;C0020;P9999;23.0;160.98;0.0;Boleto;Faturada;3702.54
V000027;2026-04-02;C0031;P0014;8.0;;10.0;Cartão;Faturada;776.08
V000028;2026-08-10;C0002;P0051;9.0;101.96;20.0;PIX;Devolvida;897.64
V000029;2026-03-15;C0048;P0064;27.0;15.72;50.0;Boleto;devolvida;374.44
V000030;2026-03-06;C0023;P0029;21.0;87.08;20.0;Boleto;Faturada;1808.68
V000031;2026-01-09;C0041;P0006;-5.0;99.22;10.0;Cartão;Faturada;982.2
V000032;2026-02-14;c0006;P0038;11.0;115.85;0.0;boleto;Cancelada;1274.35
